epoch,loss,node_mse,flux_mse,conductance_mse
1.0,0.9464380741119385,0.00369951780885458,0.9427385330200195,0.4714522063732147
10.0,0.43544313311576843,0.001376458676531911,0.43406668305397034,0.20208460092544556
20.0,0.08019322156906128,0.0002837351930793375,0.07990948855876923,0.02610246278345585
30.0,0.02842693030834198,8.852186874719337e-05,0.02833840809762478,0.009168041869997978
40.0,0.016901789233088493,4.959658326697536e-05,0.01685219258069992,0.006133826915174723
50.0,0.010720307007431984,3.217342964489944e-05,0.010688133537769318,0.004193425644189119
60.0,0.006523433141410351,1.8991460819961503e-05,0.006504441611468792,0.0023548670578747988
70.0,0.003872646950185299,1.1674024790409021e-05,0.003860972821712494,0.0011848572175949812
80.0,0.0027242922224104404,8.203582183341496e-06,0.00271608866751194,0.0008154543465934694
90.0,0.002169610932469368,6.27600866209832e-06,0.002163334982469678,0.0005922240088693798
100.0,0.0017494166968390346,5.0872331485152245e-06,0.0017443294636905193,0.0004381104954518378
110.0,0.001513377414084971,4.464256107894471e-06,0.0015089131193235517,0.00038432059227488935
120.0,0.0013605839340016246,4.052716576552484e-06,0.0013565311674028635,0.00036296696634963155
130.0,0.001244789338670671,3.693778353408561e-06,0.0012410955969244242,0.00033972683013416827
140.0,0.0011494464706629515,3.3827557217591675e-06,0.0011460636742413044,0.00032153361826203763
150.0,0.0010683349100872874,3.104383949903422e-06,0.0010652305791154504,0.0003044151817448437
160.0,0.0009985811775550246,2.873600351449568e-06,0.0009957075817510486,0.00029111793264746666
170.0,0.0009372411295771599,2.682247895791079e-06,0.0009345588623546064,0.0002796093176584691
180.0,0.0008824680116958916,2.511388402126613e-06,0.0008799566421657801,0.0002692777197808027
190.0,0.0008330451673828065,2.360461621719878e-06,0.0008306847303174436,0.0002598257560748607
200.0,0.0007880459888838232,2.225026037194766e-06,0.000785820942837745,0.000250687706284225
210.0,0.0007467403193004429,2.101165591739118e-06,0.0007446391391567886,0.00024181783373933285
220.0,0.0007085169199854136,1.9889153008989524e-06,0.0007065280224196613,0.0002331115974811837
230.0,0.0006728299194946885,1.8858698922485928e-06,0.0006709440494887531,0.0002244494971819222
240.0,0.0006391971255652606,1.7909328562382143e-06,0.0006374061922542751,0.00021576660219579935
250.0,0.0006071995012462139,1.7021874327838304e-06,0.0006054973346181214,0.0002069665351882577
260.0,0.0005764868692494929,1.6185848608074593e-06,0.0005748682888224721,0.00019798158609773964
270.0,0.0005467761657200754,1.5391158285638085e-06,0.0005452370387502015,0.00018876722606364638
280.0,0.0005178497522138059,1.4630809346272144e-06,0.000516386644449085,0.00017929382738657296
290.0,0.0004895562306046486,1.389991439282312e-06,0.000488166231662035,0.00016955225146375597
300.0,0.00046181140351109207,1.3195051451475592e-06,0.0004604918940458447,0.00015955397975631058
310.0,0.00043473669211380184,1.2497100669861538e-06,0.0004334869736339897,0.00014918888336978853
320.0,0.0015163203934207559,7.756597369734664e-06,0.001508563756942749,0.0003633559972513467
330.0,0.00045050776680000126,1.4527836356137414e-06,0.0004490549908950925,0.00013833062257617712
340.0,0.0005873358459211886,2.3046418391459156e-06,0.0005850312300026417,0.0001639671390876174
350.0,0.00042698695324361324,1.4564018329110695e-06,0.0004255305393598974,0.00012802505807485431
360.0,0.00033937388798221946,1.0369431038270704e-06,0.0003383369476068765,0.00010614264465402812
370.0,0.0003113450075034052,9.468644748267252e-07,0.00031039814348332584,9.630877320887521e-05
380.0,0.0002905704895965755,8.924396865950257e-07,0.0002896780497394502,8.800809155218303e-05
390.0,0.0002675291907507926,8.289178481390991e-07,0.0002667002845555544,8.043392153922468e-05
400.0,0.00025237101363018155,7.949029168230481e-07,0.0002515761007089168,7.421668124152347e-05
410.0,0.00023770821280777454,7.502850962737284e-07,0.00023695793061051518,6.781514821341261e-05
420.0,0.00022551715665031224,7.161019652812683e-07,0.0002248010569019243,6.228526763152331e-05
430.0,0.0002387381682638079,8.160740776474995e-07,0.00023792209685780108,6.162660429254174e-05
440.0,0.0027125575579702854,1.571277971379459e-05,0.0026968447491526604,0.0006363415159285069
450.0,0.0004264737362973392,1.9423107460170286e-06,0.00042453143396414816,9.473426325712353e-05
460.0,0.00030713167507201433,1.2712204124909476e-06,0.00030586044886149466,6.953446427360177e-05
470.0,0.00023786566453054547,9.073643241208629e-07,0.00023695829440839589,5.525137748918496e-05
480.0,0.00018624197400640696,6.318239229585743e-07,0.0001856101443991065,4.364424239611253e-05
490.0,0.0001624071883270517,5.207976983001572e-07,0.00016188638983294368,3.792658026213758e-05
500.0,0.00015954086848068982,5.301506575960957e-07,0.00015901071310508996,3.7262478144839406e-05
