strategy,observed_count,observed_fraction,repeat,rank,beta,sigma_min,sigma_min_nonzero,condition_number,noise_amplification,noiseless_relative_error,noisy_ls_relative_error,noisy_ridge_relative_error
random,16,0.64,6,10,10,0.4824654610998132,0.4824654610998132,2.0726872297147074,2.0726872297147056,6.0664825163604335e-15,0.08261807323795138,0.06620390318277032
tree_first,16,0.64,7,10,10,0.32325771276717075,0.32325771276717075,3.0935070085095218,3.09350700850952,6.227401172253268e-15,0.09682698391341892,0.12322435384073444
chord_first,16,0.64,7,10,10,0.41292699904731067,0.41292699904731067,2.4217355665944877,2.421735566594487,8.111658977299343e-15,0.08659307740307001,0.09525545544709799
rank_greedy,16,0.64,7,10,10,0.5038897034912732,0.5038897034912732,1.9845612900429492,1.9845612900429488,5.208295122274211e-15,0.07490513278533122,0.08085917779839266
random,16,0.64,7,10,10,0.34649236181966303,0.34649236181966303,2.8860665059060224,2.886066505906022,1.0525476396675632e-14,0.10668262300026585,0.07808008205875358
tree_first,17,0.68,0,10,10,0.3510993209176385,0.3510993209176385,2.8481969073206552,2.8481969073206543,6.781454533067089e-15,0.07951023103593902,0.0822696596412219
chord_first,17,0.68,0,10,10,0.41426857101402753,0.41426857101402753,2.4138929910908917,2.413892991090891,6.963939742963469e-15,0.09067976481747307,0.08622528313112128
rank_greedy,17,0.68,0,10,10,0.628593499546731,0.628593499546731,1.590853231414395,1.5908532314143948,5.1613431382503765e-15,0.05360364493029514,0.06203382414288593
random,17,0.68,0,10,10,0.4379762667640462,0.4379762667640462,2.28322874065397,2.283228740653969,7.823528256265319e-15,0.08101689161000095,0.08011518092347604
tree_first,17,0.68,1,10,10,0.3510993209176385,0.3510993209176385,2.8481969073206552,2.8481969073206543,6.781454533067089e-15,0.10630980158955573,0.09913835159179205
chord_first,17,0.68,1,10,10,0.41426857101402753,0.41426857101402753,2.4138929910908917,2.413892991090891,6.963939742963469e-15,0.10994828034493344,0.11963726258422801
rank_greedy,17,0.68,1,10,10,0.628593499546731,0.628593499546731,1.590853231414395,1.5908532314143948,5.1613431382503765e-15,0.10538215513683956,0.10520308773894906
random,17,0.68,1,10,10,0.3928599627160629,0.3928599627160629,2.5454362747642563,2.545436274764257,8.409710402018033e-15,0.08965903938231923,0.10082034979662502
tree_first,17,0.68,2,10,10,0.3510993209176385,0.3510993209176385,2.8481969073206552,2.8481969073206543,6.781454533067089e-15,0.04379708829585707,0.05842163506755909
