strategy,observed_count,observed_fraction,repeat,rank,beta,sigma_min,sigma_min_nonzero,condition_number,noise_amplification,noiseless_relative_error,noisy_ls_relative_error,noisy_ridge_relative_error
random,20,0.8,5,10,10,0.604782255008297,0.604782255008297,1.653487667203929,1.6534876672039278,5.782226546457897e-15,0.08623588924807549,0.07873907933922536
tree_first,20,0.8,6,10,10,0.5104155980984736,0.5104155980984736,1.9591877750708397,1.9591877750708389,5.811463456374355e-15,0.08531802931785648,0.08649955606985803
chord_first,20,0.8,6,10,10,0.6276017884644597,0.6276017884644597,1.5933670336515129,1.5933670336515122,6.3467479840346516e-15,0.10639605324857396,0.09954276902104792
rank_greedy,20,0.8,6,10,10,0.7071067811865475,0.7071067811865475,1.414213562373096,1.4142135623730951,5.3837231811312645e-15,0.06842813366509581,0.07189589117017314
random,20,0.8,6,10,10,0.5225998624380753,0.5225998624380753,1.9135098798815589,1.9135098798815575,5.261274171214504e-15,0.0839107945965693,0.08449491237131752
tree_first,20,0.8,7,10,10,0.5104155980984736,0.5104155980984736,1.9591877750708397,1.9591877750708389,5.811463456374355e-15,0.050161256853714926,0.04718903051871757
chord_first,20,0.8,7,10,10,0.6276017884644597,0.6276017884644597,1.5933670336515129,1.5933670336515122,6.3467479840346516e-15,0.08362522345715119,0.07551500110460531
rank_greedy,20,0.8,7,10,10,0.7071067811865475,0.7071067811865475,1.414213562373096,1.4142135623730951,5.3837231811312645e-15,0.05958800951270387,0.06336839536762247
random,20,0.8,7,10,10,0.5978488107156277,0.5978488107156277,1.672663693690376,1.6726636936903756,7.106511477068045e-15,0.08341401888380072,0.08448069695419841
tree_first,21,0.84,0,10,10,0.596191209495318,0.596191209495318,1.677314230859779,1.677314230859778,7.42605599599184e-15,0.059313565351984975,0.062489799774288896
chord_first,21,0.84,0,10,10,0.6343969593935161,0.6343969593935161,1.5763001149248905,1.5763001149248896,5.249840747695029e-15,0.06372464878272878,0.0654970379929011
rank_greedy,21,0.84,0,10,10,0.7818210327952637,0.7818210327952637,1.2790651032048552,1.2790651032048546,5.2738515228306065e-15,0.06793296844583263,0.07005467267601963
random,21,0.84,0,10,10,0.6254096173202464,0.6254096173202464,1.598952066462934,1.5989520664629329,5.641418894658524e-15,0.03998562263459371,0.04880799578691231
tree_first,21,0.84,1,10,10,0.596191209495318,0.596191209495318,1.677314230859779,1.677314230859778,7.42605599599184e-15,0.05994477845320861,0.05850640222465121
chord_first,21,0.84,1,10,10,0.6343969593935161,0.6343969593935161,1.5763001149248905,1.5763001149248896,5.249840747695029e-15,0.10115168278443257,0.09676288514343144
rank_greedy,21,0.84,1,10,10,0.7818210327952637,0.7818210327952637,1.2790651032048552,1.2790651032048546,5.2738515228306065e-15,0.07573060816847356,0.06493298636315371
random,21,0.84,1,10,10,0.6222532193461354,0.6222532193461354,1.6070627984067352,1.6070627984067345,5.568296989266915e-15,0.08106086489540737,0.08380882996260645
tree_first,21,0.84,2,10,10,0.596191209495318,0.596191209495318,1.677314230859779,1.677314230859778,7.42605599599184e-15,0.06661818626239167,0.07545846710002876
chord_first,21,0.84,2,10,10,0.6343969593935161,0.6343969593935161,1.5763001149248905,1.5763001149248896,5.249840747695029e-15,0.02269472275847066,0.02629540386262751
rank_greedy,21,0.84,2,10,10,0.7818210327952637,0.7818210327952637,1.2790651032048552,1.2790651032048546,5.2738515228306065e-15,0.07612462930413368,0.07611031472137435
random,21,0.84,2,10,10,0.5072466198788663,0.5072466198788663,1.9714276267406314,1.97142762674063,5.233968621320158e-15,0.06214892395525144,0.07013146869149565
tree_first,21,0.84,3,10,10,0.596191209495318,0.596191209495318,1.677314230859779,1.677314230859778,7.42605599599184e-15,0.06464835878211528,0.0654505296566541
chord_first,21,0.84,3,10,10,0.6343969593935161,0.6343969593935161,1.5763001149248905,1.5763001149248896,5.249840747695029e-15,0.07891951629741453,0.07160038251067355
rank_greedy,21,0.84,3,10,10,0.7818210327952637,0.7818210327952637,1.2790651032048552,1.2790651032048546,5.2738515228306065e-15,0.061004739250597566,0.06164702135380956
random,21,0.84,3,10,10,0.5164003235665802,0.5164003235665802,1.9364821328797432,1.936482132879742,9.35918668254045e-15,0.055662174932187225,0.05698829051865546
tree_first,21,0.84,4,10,10,0.596191209495318,0.596191209495318,1.677314230859779,1.677314230859778,7.42605599599184e-15,0.06170082419902499,0.06143897908319665
chord_first,21,0.84,4,10,10,0.6343969593935161,0.6343969593935161,1.5763001149248905,1.5763001149248896,5.249840747695029e-15,0.09990139601581753,0.0981542487568914
rank_greedy,21,0.84,4,10,10,0.7818210327952637,0.7818210327952637,1.2790651032048552,1.2790651032048546,5.2738515228306065e-15,0.07347390631073535,0.0696316906642979
random,21,0.84,4,10,10,0.6286035155087734,0.6286035155087734,1.5908278832812917,1.5908278832812908,5.246317758316481e-15,0.08482868586055237,0.09154337610542643
tree_first,21,0.84,5,10,10,0.596191209495318,0.596191209495318,1.677314230859779,1.677314230859778,7.42605599599184e-15,0.062110901969746855,0.05642790628451207
chord_first,21,0.84,5,10,10,0.6343969593935161,0.6343969593935161,1.5763001149248905,1.5763001149248896,5.249840747695029e-15,0.09636594145667395,0.0939236606224137
rank_greedy,21,0.84,5,10,10,0.7818210327952637,0.7818210327952637,1.2790651032048552,1.2790651032048546,5.2738515228306065e-15,0.07235383692523197,0.07038380149187322
random,21,0.84,5,10,10,0.6891123659420079,0.6891123659420079,1.4511421495578782,1.4511421495578776,5.491958090978082e-15,0.06566891887877169,0.06810323691762242
tree_first,21,0.84,6,10,10,0.596191209495318,0.596191209495318,1.677314230859779,1.677314230859778,7.42605599599184e-15,0.05704177272873502,0.06063241331836757
chord_first,21,0.84,6,10,10,0.6343969593935161,0.6343969593935161,1.5763001149248905,1.5763001149248896,5.249840747695029e-15,0.08962553938623662,0.08959939238547898
rank_greedy,21,0.84,6,10,10,0.7818210327952637,0.7818210327952637,1.2790651032048552,1.2790651032048546,5.2738515228306065e-15,0.0859754151372196,0.08486851197471049
random,21,0.84,6,10,10,0.5885292480565296,0.5885292480565296,1.6991508974316059,1.699150897431605,5.226014480975585e-15,0.050512897140592095,0.05363639830391767
tree_first,21,0.84,7,10,10,0.596191209495318,0.596191209495318,1.677314230859779,1.677314230859778,7.42605599599184e-15,0.0642064874654132,0.060255090055103495
chord_first,21,0.84,7,10,10,0.6343969593935161,0.6343969593935161,1.5763001149248905,1.5763001149248896,5.249840747695029e-15,0.05562069505526986,0.05200765482715333
rank_greedy,21,0.84,7,10,10,0.7818210327952637,0.7818210327952637,1.2790651032048552,1.2790651032048546,5.2738515228306065e-15,0.055294753591241703,0.050364200110356035
random,21,0.84,7,10,10,0.6929152459704662,0.6929152459704662,1.4431779439337422,1.4431779439337413,6.441207436029955e-15,0.06856094913306976,0.06471104949192916
tree_first,22,0.88,0,10,10,0.5966720667253914,0.5966720667253914,1.6759624855376958,1.6759624855376944,6.810247759718853e-15,0.05037450366202616,0.055371310039317445
chord_first,22,0.88,0,10,10,0.7397173700343161,0.7397173700343161,1.351867673397489,1.3518676733974884,5.119681256790556e-15,0.09123246088277613,0.08833947742782002
rank_greedy,22,0.88,0,10,10,0.7959605221717988,0.7959605221717988,1.2563437157303665,1.2563437157303659,5.104309971746478e-15,0.04965278406826271,0.05263763028404464
random,22,0.88,0,10,10,0.6613122237070875,0.6613122237070875,1.5121450415574456,1.5121450415574447,5.973577655777709e-15,0.0746215716968612,0.08546689846811914
tree_first,22,0.88,1,10,10,0.5966720667253914,0.5966720667253914,1.6759624855376958,1.6759624855376944,6.810247759718853e-15,0.07535402858430161,0.08017575348869092
chord_first,22,0.88,1,10,10,0.7397173700343161,0.7397173700343161,1.351867673397489,1.3518676733974884,5.119681256790556e-15,0.053073188454504906,0.05759763209076544
rank_greedy,22,0.88,1,10,10,0.7959605221717988,0.7959605221717988,1.2563437157303665,1.2563437157303659,5.104309971746478e-15,0.059129343501215376,0.05860133950798735
random,22,0.88,1,10,10,0.6341722476621355,0.6341722476621355,1.5768586589628961,1.576858658962895,5.0688703082719755e-15,0.06437062191131117,0.06995757007764254
tree_first,22,0.88,2,10,10,0.5966720667253914,0.5966720667253914,1.6759624855376958,1.6759624855376944,6.810247759718853e-15,0.06610099484708326,0.062329320782582645
chord_first,22,0.88,2,10,10,0.7397173700343161,0.7397173700343161,1.351867673397489,1.3518676733974884,5.119681256790556e-15,0.046065752734948895,0.052622402674387524
rank_greedy,22,0.88,2,10,10,0.7959605221717988,0.7959605221717988,1.2563437157303665,1.2563437157303659,5.104309971746478e-15,0.05292882886158349,0.04935254224278366
random,22,0.88,2,10,10,0.7568097840164646,0.7568097840164646,1.3213359831223392,1.3213359831223386,5.110644923471199e-15,0.05916857724881208,0.05602408223059569
tree_first,22,0.88,3,10,10,0.5966720667253914,0.5966720667253914,1.6759624855376958,1.6759624855376944,6.810247759718853e-15,0.054900912083692535,0.054757513795208164
chord_first,22,0.88,3,10,10,0.7397173700343161,0.7397173700343161,1.351867673397489,1.3518676733974884,5.119681256790556e-15,0.0768706090561456,0.07229972187710638
rank_greedy,22,0.88,3,10,10,0.7959605221717988,0.7959605221717988,1.2563437157303665,1.2563437157303659,5.104309971746478e-15,0.07615023535840873,0.07179005251740854
random,22,0.88,3,10,10,0.6595164274356718,0.6595164274356718,1.5162624589780047,1.5162624589780038,5.8993494952456505e-15,0.07495429667469572,0.07188529604587482
tree_first,22,0.88,4,10,10,0.5966720667253914,0.5966720667253914,1.6759624855376958,1.6759624855376944,6.810247759718853e-15,0.11553353573579023,0.11620019872767211
chord_first,22,0.88,4,10,10,0.7397173700343161,0.7397173700343161,1.351867673397489,1.3518676733974884,5.119681256790556e-15,0.08901352307591248,0.08851136934124872
rank_greedy,22,0.88,4,10,10,0.7959605221717988,0.7959605221717988,1.2563437157303665,1.2563437157303659,5.104309971746478e-15,0.06444845064127878,0.05762068392012576
random,22,0.88,4,10,10,0.6804306086925394,0.6804306086925394,1.4696575774589566,1.4696575774589558,6.050206186156102e-15,0.08714953502131301,0.08371876934261863
tree_first,22,0.88,5,10,10,0.5966720667253914,0.5966720667253914,1.6759624855376958,1.6759624855376944,6.810247759718853e-15,0.08504279366403912,0.088799660296396
chord_first,22,0.88,5,10,10,0.7397173700343161,0.7397173700343161,1.351867673397489,1.3518676733974884,5.119681256790556e-15,0.058837488967077994,0.061998978555488866
rank_greedy,22,0.88,5,10,10,0.7959605221717988,0.7959605221717988,1.2563437157303665,1.2563437157303659,5.104309971746478e-15,0.058951172760189734,0.05742472407767702
random,22,0.88,5,10,10,0.6837494865894125,0.6837494865894125,1.4625239500918186,1.462523950091818,5.056697211188391e-15,0.062176748539685966,0.05283949119288372
tree_first,22,0.88,6,10,10,0.5966720667253914,0.5966720667253914,1.6759624855376958,1.6759624855376944,6.810247759718853e-15,0.04167484651655165,0.0415933636556139
chord_first,22,0.88,6,10,10,0.7397173700343161,0.7397173700343161,1.351867673397489,1.3518676733974884,5.119681256790556e-15,0.06611166306050244,0.06657926843614365
rank_greedy,22,0.88,6,10,10,0.7959605221717988,0.7959605221717988,1.2563437157303665,1.2563437157303659,5.104309971746478e-15,0.08521969458366305,0.08544707228458863
random,22,0.88,6,10,10,0.6641029048883897,0.6641029048883897,1.5057907330913756,1.505790733091375,5.3360049004682235e-15,0.06053321228319428,0.05744464161285969
tree_first,22,0.88,7,10,10,0.5966720667253914,0.5966720667253914,1.6759624855376958,1.6759624855376944,6.810247759718853e-15,0.08031943888311534,0.08809800624487454
chord_first,22,0.88,7,10,10,0.7397173700343161,0.7397173700343161,1.351867673397489,1.3518676733974884,5.119681256790556e-15,0.06333601875070884,0.06480633232725543
rank_greedy,22,0.88,7,10,10,0.7959605221717988,0.7959605221717988,1.2563437157303665,1.2563437157303659,5.104309971746478e-15,0.04901403908184598,0.051377578360719385
random,22,0.88,7,10,10,0.6880750366381788,0.6880750366381788,1.4533298648441535,1.4533298648441528,5.679525988368478e-15,0.057495314240687656,0.05806972385335455
tree_first,23,0.92,0,10,10,0.7112768653668997,0.7112768653668997,1.4059222908707538,1.4059222908707534,5.398013494481199e-15,0.0597065736021894,0.057561855164793556
chord_first,23,0.92,0,10,10,0.7443363417246294,0.7443363417246294,1.3434786721322758,1.3434786721322745,5.116369787663056e-15,0.05179902730435658,0.04625114708169956
rank_greedy,23,0.92,0,10,10,0.8213565102638217,0.8213565102638217,1.2174981113606782,1.2174981113606778,5.200597984368608e-15,0.060100377590121934,0.0629224617672322
random,23,0.92,0,10,10,0.7311248101285777,0.7311248101285777,1.3677555270270991,1.3677555270270985,5.035017481991305e-15,0.0765585657174008,0.0739964996849794
tree_first,23,0.92,1,10,10,0.7112768653668997,0.7112768653668997,1.4059222908707538,1.4059222908707534,5.398013494481199e-15,0.09167785331496273,0.09239816268123478
chord_first,23,0.92,1,10,10,0.7443363417246294,0.7443363417246294,1.3434786721322758,1.3434786721322745,5.116369787663056e-15,0.0674245052623589,0.06789509373733972
rank_greedy,23,0.92,1,10,10,0.8213565102638217,0.8213565102638217,1.2174981113606782,1.2174981113606778,5.200597984368608e-15,0.0628078634828576,0.06209976460699331
random,23,0.92,1,10,10,0.7277106945028659,0.7277106945028659,1.3741724665502526,1.374172466550252,5.162537064506978e-15,0.08618545680006824,0.08727934589094545
tree_first,23,0.92,2,10,10,0.7112768653668997,0.7112768653668997,1.4059222908707538,1.4059222908707534,5.398013494481199e-15,0.060739354222282396,0.06513758493213426
chord_first,23,0.92,2,10,10,0.7443363417246294,0.7443363417246294,1.3434786721322758,1.3434786721322745,5.116369787663056e-15,0.09711711338294605,0.09591850667342483
rank_greedy,23,0.92,2,10,10,0.8213565102638217,0.8213565102638217,1.2174981113606782,1.2174981113606778,5.200597984368608e-15,0.06716680362571092,0.06170947016690185
random,23,0.92,2,10,10,0.731124810128578,0.731124810128578,1.3677555270270987,1.3677555270270978,5.063396036227354e-15,0.05928998808089697,0.060336091422123386
tree_first,23,0.92,3,10,10,0.7112768653668997,0.7112768653668997,1.4059222908707538,1.4059222908707534,5.398013494481199e-15,0.09407236477675257,0.09467289065903169
chord_first,23,0.92,3,10,10,0.7443363417246294,0.7443363417246294,1.3434786721322758,1.3434786721322745,5.116369787663056e-15,0.0755784992371519,0.07037489105811853
rank_greedy,23,0.92,3,10,10,0.8213565102638217,0.8213565102638217,1.2174981113606782,1.2174981113606778,5.200597984368608e-15,0.06638337530124924,0.06877688951307895
random,23,0.92,3,10,10,0.7183099365512016,0.7183099365512016,1.3921567127433438,1.392156712743343,4.9950783392781254e-15,0.08317782548052324,0.08408090655092326
tree_first,23,0.92,4,10,10,0.7112768653668997,0.7112768653668997,1.4059222908707538,1.4059222908707534,5.398013494481199e-15,0.05014418638516542,0.04972120870873789
chord_first,23,0.92,4,10,10,0.7443363417246294,0.7443363417246294,1.3434786721322758,1.3434786721322745,5.116369787663056e-15,0.07238125672772386,0.06904017833615854
rank_greedy,23,0.92,4,10,10,0.8213565102638217,0.8213565102638217,1.2174981113606782,1.2174981113606778,5.200597984368608e-15,0.08121521712435888,0.07669657934496771
random,23,0.92,4,10,10,0.7034969621140766,0.7034969621140766,1.4214702462892002,1.4214702462891993,5.4349924668792015e-15,0.07990183330867776,0.08079771408390372
tree_first,23,0.92,5,10,10,0.7112768653668997,0.7112768653668997,1.4059222908707538,1.4059222908707534,5.398013494481199e-15,0.08084013146280143,0.08192013593058316
chord_first,23,0.92,5,10,10,0.7443363417246294,0.7443363417246294,1.3434786721322758,1.3434786721322745,5.116369787663056e-15,0.05190968750208994,0.048965690913195185
rank_greedy,23,0.92,5,10,10,0.8213565102638217,0.8213565102638217,1.2174981113606782,1.2174981113606778,5.200597984368608e-15,0.04407788373121374,0.04638785221106755
random,23,0.92,5,10,10,0.7762396977308689,0.7762396977308689,1.288261864116504,1.2882618641165031,5.081317467589782e-15,0.06406770339869582,0.0645520806582974
tree_first,23,0.92,6,10,10,0.7112768653668997,0.7112768653668997,1.4059222908707538,1.4059222908707534,5.398013494481199e-15,0.0650081738586677,0.06692612370437218
chord_first,23,0.92,6,10,10,0.7443363417246294,0.7443363417246294,1.3434786721322758,1.3434786721322745,5.116369787663056e-15,0.05119846974485311,0.052084195037120445
rank_greedy,23,0.92,6,10,10,0.8213565102638217,0.8213565102638217,1.2174981113606782,1.2174981113606778,5.200597984368608e-15,0.06762278541300298,0.06383505696374163
random,23,0.92,6,10,10,0.6923676565921584,0.6923676565921584,1.444319344612387,1.4443193446123863,5.127800341738166e-15,0.04608795822914205,0.03941765512954519
tree_first,23,0.92,7,10,10,0.7112768653668997,0.7112768653668997,1.4059222908707538,1.4059222908707534,5.398013494481199e-15,0.10904380393495589,0.11144557433550921
chord_first,23,0.92,7,10,10,0.7443363417246294,0.7443363417246294,1.3434786721322758,1.3434786721322745,5.116369787663056e-15,0.07420232166991808,0.07519743146762564
rank_greedy,23,0.92,7,10,10,0.8213565102638217,0.8213565102638217,1.2174981113606782,1.2174981113606778,5.200597984368608e-15,0.08406720496665915,0.07970106423955736
random,23,0.92,7,10,10,0.7327961820698377,0.7327961820698377,1.3646359307924147,1.3646359307924139,4.981487945126502e-15,0.04692089579471315,0.052362898846686566
tree_first,24,0.96,0,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.286107488230402e-15,0.05843713821966179,0.0571245034872446
chord_first,24,0.96,0,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.0178519030498464e-15,0.05312063562946946,0.05310688813551767
rank_greedy,24,0.96,0,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.05179365883151342,0.049883704546782155
random,24,0.96,0,10,10,0.8242878925574473,0.8242878925574473,1.21316837118326,1.2131683711832595,4.964137268894119e-15,0.07961786904306038,0.08131755650523277
tree_first,24,0.96,1,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.286107488230402e-15,0.04534184125824682,0.045692027921323486
chord_first,24,0.96,1,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.0178519030498464e-15,0.048001851941322976,0.04984114623382414
rank_greedy,24,0.96,1,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.07287945800803389,0.06908062151987401
random,24,0.96,1,10,10,0.7219700648855072,0.7219700648855072,1.385098979358077,1.3850989793580761,4.956371820863329e-15,0.059357871194825086,0.06264202240550917
tree_first,24,0.96,2,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.286107488230402e-15,0.054780454911351466,0.0539892973024786
chord_first,24,0.96,2,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.0178519030498464e-15,0.044694235431250645,0.04769201009207895
rank_greedy,24,0.96,2,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.08282977913143265,0.0848520650025907
random,24,0.96,2,10,10,0.8500701502335135,0.8500701502335135,1.1763735024989423,1.176373502498942,5.2248350599538e-15,0.056144121438889256,0.05558897004744456
tree_first,24,0.96,3,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.286107488230402e-15,0.08464262936727532,0.08507033331577603
chord_first,24,0.96,3,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.0178519030498464e-15,0.057748764039875645,0.05912257898146527
rank_greedy,24,0.96,3,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.043491503423006235,0.04415055965236374
random,24,0.96,3,10,10,0.9999999999999993,0.9999999999999993,1.0000000000000016,1.0000000000000007,5.084651765210107e-15,0.09724769577331342,0.09769238607509645
tree_first,24,0.96,4,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.286107488230402e-15,0.05941006340578856,0.06136215522860836
chord_first,24,0.96,4,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.0178519030498464e-15,0.06259760718010556,0.05809164549976857
rank_greedy,24,0.96,4,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.0744679292184163,0.0711636633910113
random,24,0.96,4,10,10,0.731341717903816,0.731341717903816,1.3673498660328274,1.3673498660328265,5.061874354439054e-15,0.05084429147833643,0.057833661921230704
tree_first,24,0.96,5,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.286107488230402e-15,0.06983374829473611,0.07003773412174273
chord_first,24,0.96,5,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.0178519030498464e-15,0.049178151516025066,0.048204435728545464
rank_greedy,24,0.96,5,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.056585769309466696,0.05948314565575813
random,24,0.96,5,10,10,0.7960299231107151,0.7960299231107151,1.256234182871184,1.2562341828711832,4.914226364206316e-15,0.07521276468235637,0.07642069547933375
tree_first,24,0.96,6,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.286107488230402e-15,0.08075995010966157,0.07596929120864537
chord_first,24,0.96,6,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.0178519030498464e-15,0.05426575877302932,0.051708943813993866
rank_greedy,24,0.96,6,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.07195736724320735,0.07390005431259777
random,24,0.96,6,10,10,0.8213565102638217,0.8213565102638217,1.2174981113606782,1.2174981113606778,5.041439505745306e-15,0.05176417873536026,0.054816018652096156
tree_first,24,0.96,7,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.286107488230402e-15,0.03888023560063916,0.03924138976987877
chord_first,24,0.96,7,10,10,0.8500701502335133,0.8500701502335133,1.1763735024989428,1.1763735024989421,5.0178519030498464e-15,0.07979285136469345,0.07700712750343815
rank_greedy,24,0.96,7,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.058851902354036895,0.059812771914822704
random,24,0.96,7,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0270550383173204e-15,0.055944311471597584,0.056290830404056774
tree_first,25,1.0,0,10,10,0.9999999999999992,0.9999999999999992,1.0000000000000016,1.0000000000000009,5.0178519030498464e-15,0.050612957683408656,0.05268875218274423
chord_first,25,1.0,0,10,10,0.9999999999999993,0.9999999999999993,1.0000000000000013,1.0000000000000007,5.001243582724792e-15,0.03167867959610753,0.03650831533486013
rank_greedy,25,1.0,0,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.05810894117222036,0.05637624501796323
random,25,1.0,0,10,10,0.9999999999999992,0.9999999999999992,1.0000000000000013,1.0000000000000009,5.1383059875425614e-15,0.05571738772174318,0.053235171094096534
tree_first,25,1.0,1,10,10,0.9999999999999992,0.9999999999999992,1.0000000000000016,1.0000000000000009,5.0178519030498464e-15,0.03861529047469672,0.03161163786034357
chord_first,25,1.0,1,10,10,0.9999999999999993,0.9999999999999993,1.0000000000000013,1.0000000000000007,5.001243582724792e-15,0.0641826128938083,0.062075648887380395
rank_greedy,25,1.0,1,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.0532534174648638,0.04994458934941763
random,25,1.0,1,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,4.988596633262115e-15,0.06301854773970021,0.06470543921323256
tree_first,25,1.0,2,10,10,0.9999999999999992,0.9999999999999992,1.0000000000000016,1.0000000000000009,5.0178519030498464e-15,0.07780825242073802,0.08198309664095817
chord_first,25,1.0,2,10,10,0.9999999999999993,0.9999999999999993,1.0000000000000013,1.0000000000000007,5.001243582724792e-15,0.05720375097619658,0.05870479283352928
rank_greedy,25,1.0,2,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.034888712494334125,0.03563939010070085
random,25,1.0,2,10,10,0.9999999999999993,0.9999999999999993,1.000000000000001,1.0000000000000007,5.052429698163664e-15,0.07035135575423533,0.075126949302662
tree_first,25,1.0,3,10,10,0.9999999999999992,0.9999999999999992,1.0000000000000016,1.0000000000000009,5.0178519030498464e-15,0.062227005702846894,0.0636953898151061
chord_first,25,1.0,3,10,10,0.9999999999999993,0.9999999999999993,1.0000000000000013,1.0000000000000007,5.001243582724792e-15,0.08766927889926,0.08462208232817735
rank_greedy,25,1.0,3,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.06682027942012952,0.06354841356919026
random,25,1.0,3,10,10,0.9999999999999993,0.9999999999999993,1.0000000000000013,1.0000000000000007,5.004015464099315e-15,0.05162720339472345,0.05604013753076768
tree_first,25,1.0,4,10,10,0.9999999999999992,0.9999999999999992,1.0000000000000016,1.0000000000000009,5.0178519030498464e-15,0.05027803929461843,0.04853996224451865
chord_first,25,1.0,4,10,10,0.9999999999999993,0.9999999999999993,1.0000000000000013,1.0000000000000007,5.001243582724792e-15,0.06872634039232027,0.06516270838347499
rank_greedy,25,1.0,4,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.06185249006334169,0.05969919204724301
random,25,1.0,4,10,10,0.999999999999999,0.999999999999999,1.0000000000000018,1.000000000000001,5.09978018830275e-15,0.047084712761957664,0.0505176376599247
tree_first,25,1.0,5,10,10,0.9999999999999992,0.9999999999999992,1.0000000000000016,1.0000000000000009,5.0178519030498464e-15,0.04887066441875186,0.04865442198882316
chord_first,25,1.0,5,10,10,0.9999999999999993,0.9999999999999993,1.0000000000000013,1.0000000000000007,5.001243582724792e-15,0.07037194164221923,0.06930577963687212
rank_greedy,25,1.0,5,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.06876401402140467,0.0681488199272731
random,25,1.0,5,10,10,0.9999999999999997,0.9999999999999997,1.000000000000001,1.0000000000000004,5.046326990660216e-15,0.04594311642680755,0.04509021462831015
tree_first,25,1.0,6,10,10,0.9999999999999992,0.9999999999999992,1.0000000000000016,1.0000000000000009,5.0178519030498464e-15,0.075628821937798,0.07736716003303228
chord_first,25,1.0,6,10,10,0.9999999999999993,0.9999999999999993,1.0000000000000013,1.0000000000000007,5.001243582724792e-15,0.035401923799110266,0.03276290914871944
rank_greedy,25,1.0,6,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.0502184472344377,0.047882412199614616
random,25,1.0,6,10,10,0.9999999999999994,0.9999999999999994,1.0000000000000013,1.0000000000000007,5.0147804380481875e-15,0.0686165445216883,0.07019508719671355
tree_first,25,1.0,7,10,10,0.9999999999999992,0.9999999999999992,1.0000000000000016,1.0000000000000009,5.0178519030498464e-15,0.0648381344431274,0.06877880382304744
chord_first,25,1.0,7,10,10,0.9999999999999993,0.9999999999999993,1.0000000000000013,1.0000000000000007,5.001243582724792e-15,0.06742792938965346,0.07094744646463423
rank_greedy,25,1.0,7,10,10,0.9999999999999994,0.9999999999999994,1.000000000000001,1.0000000000000007,5.0147804380481875e-15,0.08785876304617263,0.08623482211012376
random,25,1.0,7,10,10,0.9999999999999993,0.9999999999999993,1.0000000000000013,1.0000000000000007,5.01385863164267e-15,0.06059295625030254,0.0599810744825383
